titulo,autor,tema,mes
Ufac abre edital com 26 vagas para mestrado em Educacao,Thales Peres,educacao,2
Operacao interdita duas academias e notifica outras duas em Salvador e Lauro de Freitas; veja,Thales Peres,educacao,1
CPI da Covid medicos enviados pelo governo a Manaus sugeriram tendas de tratamento com remedios sem eficacia,Francisco Jose,saude publica,6
Fortaleza tem 100 vagas de emprego em supermercados,Maria Clara,emprego,1
Empresas de Vitoria da Conquista e Jequie divulgam vagas de emprego; confira,Joao Paulo Araujo,emprego,1
Confira as oportunidades de emprego na regiao,Maria Clara,emprego,7
Veja vagas de emprego em Goias,Sebastiao Silva,emprego,5
Empresas de Feira de Santana divulgam vagas de emprego para quinta-feira; confira,Teodora Alves,emprego,7
Sine Manaus oferta 208 vagas de emprego nesta segunda (21),Miguel Angelo,emprego,3
'Casa Pratica Pets' veja como lidar com animais domesticos com fobias,Tiago Calisto,animais domesticos,5
Numero de animais domesticos abandonados aumenta,Sasha Ferreira,animais domesticos,1
'Tindau' Empresario de Bauru cria aplicativo para adocao responsavel de pets em todo o pais,Douglas Santos,animais domesticos,7
Dono pode ser multado se nao recolher fezes de animais domesticos nas ruas,Sebastiao Silva,animais domesticos,7
CRLV de 2019 passa a ter validade ate 31 de dezembro deste ano,Hugo Sousa,saude publica,1
Numero de denuncias de maus-tratos contra animais domesticos mais que dobra no Parana em 2021 diz Sesp,Sebastiao Silva,animais domesticos,3
Governo sanciona lei que cria banco de sangue para animais domesticos em MT,Sebastiao Silva,animais domesticos,1
Policia Civil vai investigar a morte de animais domesticos no municipio de Cumbe,Joao Paulo Araujo,animais domesticos,7
Especialista explica qual e o limite de animais domesticos permitidos dentro de casa,Maria Clara,animais domesticos,1
Camara aprova projeto que obriga clinicas veterinarias comunicarem recebimento de casos de animais domesticos em situacao de maus-tratos,Francisco Jose,animais domesticos,6
Lei proibe tatuagens e piercings em animais domesticos no DF,Maria Julia,animais domesticos,4
Bom Dia Bicho Saiba o que fazer em caso de acidentes com animais domesticos,Maria Julia,animais domesticos,7
Macaco-aranha criado como animal domestico em Alenquer e transferido para Santarem,Maria Clara,animais domesticos,4
Saiba como proceder caso o animal de estimacao sofra acidente domestico,Douglas Santos,animais domesticos,7
Lei vai punir quem fizer tatuagem em animais domesticos,Douglas Santos,animais domesticos,4
Com rede publica de saude em colapso Hospital de Caridade permanece fechado em Franca SP,Teodora Alves,saude publica,1
Justica do DF decide que papagaio domesticado ha mais de 20 anos deve permanecer com tutora,Maria Clara,animais domesticos,1
Pesquisadores monitoram comportamento de animais domesticos na pandemia,Joao Paulo Araujo,animais domesticos,5
Lei pune quem fizer tatuagem em animais domesticos no Rio de Janeiro,Thales Peres,animais domesticos,7
Saiba como amenizar os efeitos da quarentena nos animais domesticos,Joao Paulo Araujo,animais domesticos,3
Algumas doencas que atingem humanos podem afetar animais domesticos,Joao Paulo Araujo,animais domesticos,2
Veja como animais domesticos podem ajudar no tratamento de pessoas com deficiencia,Sebastiao Silva,animais domesticos,1
'Casa Pratica Pets' confira orientacoes sobre animais domesticos que costumam comer grama,Sasha Ferreira,animais domesticos,3
CLDF aprova projeto que veta tatuagem e piercings em animais domesticos para fins esteticos,Joao Paulo Araujo,animais domesticos,3
Aeroporto de Altamira no Para e alvo de fiscalizacao da Policia Federal,Thales Peres,animais domesticos,2
O aumento de animais domesticos abandonados preocupa voluntarios em Tangara da Serra,Hugo Sousa,animais domesticos,7
Defensoria Publica pede ao Ministerio da Saude que inclua adolescentes de 12 a 17 anos na vacinacao contra Covid,Miguel Angelo,saude publica,6
Planejamento financeiro deve conter despesas com animais domesticos,Hugo Sousa,animais domesticos,6
Como evitar que os fogos de artificios incomodem os animais domesticos,Sasha Ferreira,animais domesticos,4
Mes de dezembro defende a protecao dos animais domesticos,Sebastiao Silva,animais domesticos,5
Jaguatirica criada como animal domestico e resgatada em Baiao no PA,Pedro Henrique,animais domesticos,1
Crevisa disponibiliza vagas de dezembro para castracao de animais domesticos em Divinopolis,Sasha Ferreira,animais domesticos,7
Sancionadas duas leis em prol de animais domesticos de rua e silvestres em SC,Francisco Jose,animais domesticos,7
Boi faz sucesso levando vida de animal domestico,Sasha Ferreira,animais domesticos,2
Macapa registra quase 70 casos de violencia animal nos 4 primeiros meses de 2021,Hugo Sousa,animais domesticos,4
JBS traz 30 navios de milho da Argentina em meio a quebra de safra no Brasil,Hugo Sousa,animais domesticos,3
Centro de Zoonoses oferece cadastro para castrar animais domesticos,Douglas Santos,animais domesticos,4
Secretaria Municipal de Saude participa de audiencia publica na Camara de Curitiba,Hugo Sousa,saude publica,7
Vizinho invade casa no DF para alimentar cachorros deixados sem agua e sem comida,Douglas Santos,animais domesticos,2
Dono de acougue e autuado por abate ilegal de animais em sitio de Borborema,Francisco Jose,animais domesticos,6
Donos de animais domesticos precisam ficar atentos aos possiveis sinais de cancer de pele,Douglas Santos,animais domesticos,3
Universidades brasileiras vao investigar Covid em animais domesticos,Joao Paulo Araujo,animais domesticos,7
Representante da OAB-AL alerta populacao sobre doacao responsavel de animais domesticos,Teodora Alves,animais domesticos,7
Programa distribui uma tonelada de racao para entidades que cuidam de animais em Cascavel,Sebastiao Silva,animais domesticos,7
Projeto que proibe tatuagens e piercing em animais domesticos e silvestres em Uberaba e aprovado no Legislativo,Tiago Calisto,animais domesticos,1
Veterinaria orienta sobre cuidados com os animais domesticos no calor,Joao Paulo Araujo,animais domesticos,3
Funtrab oferece 384 vagas para Campo Grande nesta segunda-feira (26),Douglas Santos,animais domesticos,2
Animais domesticos sao vitimas de envenenamento em praca de Palmas,Miguel Angelo,animais domesticos,3
Covid-19 Com mais 10 mortes total de vitimas no DF chega a 9.322,Tiago Calisto,saude publica,6
Plantao oferece servicos gratuitos para animais domesticos,Francisco Jose,animais domesticos,5
Aumenta o abandono de animais domesticos na pandemia,Maria Julia,animais domesticos,3
Boi faz sucesso levando vida de animal domestico,Hugo Sousa,animais domesticos,1
Centro de Zoonoses planeja vacinar mais 10 mil animais domesticos,Francisco Jose,animais domesticos,3
Moradora socorrida em casa destruida por incendio acredita que marido tenha sido responsavel pelo fogo,Francisco Jose,animais domesticos,7
Pesquisa avalia risco de contaminacao por Covid-19 nos animais domesticos,Joao Paulo Araujo,animais domesticos,4
Homem preso por ferir cachorro com faca no ES e solto e fica proibido de ter animal domestico,Sebastiao Silva,animais domesticos,2
Animais domesticos nao poderao ser acorrentados em Praia Grande e Santos SP,Maria Clara,animais domesticos,4
Homem e preso em flagrante por maltratar e matar animais domesticos em Presidente Epitacio,Francisco Jose,animais domesticos,7
Lei que obriga clinicas veterinarias e pet shops a comunicarem a policia casos de maus-tratos a animais entra em vigor em Presidente Prudente,Joao Paulo Araujo,animais domesticos,6
Casos de Covid entre agentes penitenciarios sao 50% maiores do que na populacao de SP,Joao Paulo Araujo,saude publica,6
Animais domesticos nao transmite coronavirus,Pedro Henrique,animais domesticos,5
Gato e cachorra sao encontrados mutilados em Teresopolis RJ; municipio apura denuncia e registrou caso na delegacia,Maria Julia,animais domesticos,6
Prefeitura recebe media de uma denuncia de maus-tratos contra animais a cada 4h em Limeira,Tiago Calisto,animais domesticos,7
Animais domesticos nao transmitem Coronavirus,Sebastiao Silva,animais domesticos,3
Lei autoriza visita de animais domesticos a pacientes internados em hospitais de SC,Teodora Alves,animais domesticos,1
Nova Odessa promove drive-thru solidario para arrecadacao de roupas alimentos e racao,Pedro Henrique,animais domesticos,5
Animais domesticos vao ser proibidos de circular em areas internas do Parque do Coco,Joao Paulo Araujo,animais domesticos,3
Numero de animais domesticos abandonados nas ruas de Salvador cresce em meio a pandemia,Sebastiao Silva,animais domesticos,2
Lei aprovada na Alerj proibe tatuagens em animais,Francisco Jose,animais domesticos,1
Camara aprova projeto que concede titulo de Utilidade Publica a ONG 'Arca de Noe' em Nova Serrana,Francisco Jose,animais domesticos,2
Lei define profissionais essenciais durante pandemia de Covid-19 no DF,Douglas Santos,saude publica,7
Descubra os cuidados com os animais domesticos na pandemia do coronavirus,Teodora Alves,animais domesticos,1
Campanhas arrecadam medicamentos e agasalhos para caes e gatos em Uberaba,Pedro Henrique,animais domesticos,4
Donos de animais domesticos procura formas de refrescar os bichos no verao,Pedro Henrique,animais domesticos,2
Prefeitura de Itupeva realiza campanha de arrecadacao de roupas e cobertores para animais,Miguel Angelo,animais domesticos,3
Rotina dos animais domesticos tambem mudou com o isolamento social,Teodora Alves,animais domesticos,7
ONG Amemais resgata animais domesticos em situacao de maus tratos em Teofilo Otoni,Joao Paulo Araujo,animais domesticos,6
Moradores encontram cobra-coral dentro de quintal de casa no Oeste de SC,Maria Clara,animais domesticos,4
Presidente sanciona hoje (29) lei com pena mais dura para maus tratos de animal domestico,Thales Peres,animais domesticos,2
Nova Odessa resgata 41 animais silvestres em areas urbanas em 2021 diz prefeitura,Pedro Henrique,animais domesticos,5
Veterinario explica que animais domesticos nao transmitem a Covid-19,Sasha Ferreira,animais domesticos,4
Pfizer e AstraZeneca sao muito eficazes contra variante Delta,Douglas Santos,saude publica,3
Prefeitura de Teofilo Otoni realiza castracao gratuita de animais domesticos,Joao Paulo Araujo,animais domesticos,6
Saiba como cuidar de seu animal domestico no periodo da pandemia,Sasha Ferreira,animais domesticos,5
Aumenta abandono de animais durante a pandemia,Sebastiao Silva,animais domesticos,4
Advogado tira duvidas sobre trabalho domestico,Maria Julia,animais domesticos,2
Saiba os cuidados para evitar que animais domesticos sejam contaminados pelo coronavirus,Maria Julia,animais domesticos,3
Homem diz a policia que ateou fogo em gato vivo apos ser arranhado pelo animal,Maria Clara,animais domesticos,1
G1 em 1 minuto - Santos Animais domesticos nao poderao ser acorrentados em duas cidades,Maria Julia,animais domesticos,4
PRF da orientacoes sobre transporte de animais domesticos em viagens rodoviarias,Hugo Sousa,animais domesticos,4
Dia do Trabalho Domestico Juiz tira duvidas dos telespectadores,Maria Clara,animais domesticos,4
Governo anuncia programa de castracao para 15 mil animais domesticos,Maria Julia,animais domesticos,4
Moradora reclama da falta de fraldas geriatricas na rede publica de saude,Pedro Henrique,saude publica,4
Saiba como proceder em caso de furto de animais domesticos,Francisco Jose,animais domesticos,7
Feira de adocao de animais e realizada neste domingo em Volta Redonda,Thales Peres,animais domesticos,4
Dia do Trabalhador Domestico e comemorado nesta quinta,Pedro Henrique,animais domesticos,3
Dezembro e o mes da luta contra o abandono de animais domesticos,Douglas Santos,animais domesticos,6
Apos comer galinhas ha um mes jiboia volta e se alimenta de um gato na mesma residencia em MS,Sasha Ferreira,animais domesticos,7
Mais dois ataques de raposas a animais domesticos sao registrados em Caxias,Miguel Angelo,animais domesticos,5
Caes e gatos atacam animais silvestres numa das principais reservas ecologicas do DF,Sasha Ferreira,animais domesticos,5
Feira de adocao de animais domesticos acontece neste sabado em Aracaju,Maria Clara,animais domesticos,2
Quadro 'Meu condominio tem solucao' fala sobre animais domesticos,Maria Clara,animais domesticos,1
'Casa Pratica Pets' traz dicas de cuidado com aves de estimacao,Sasha Ferreira,animais domesticos,7
Prefeitura oferta vagas para Educacao de Jovens e Adultos em Porto Velho,Hugo Sousa,educacao,4
Falta de pelo menos 77 remedios na rede publica do DF deixa pacientes apreensivos 'Risco de sequelas',Tiago Calisto,saude publica,5
Caes e gatos de grande porte podem doar sangue para ajudar a salvar a vida de outros animais domesticos,Maria Julia,animais domesticos,6
Camara vota projeto que libera transporte de animais domesticos em onibus de Campinas; regras,Thales Peres,animais domesticos,7
Familias criam bodes como animais de estimacao em Teresina; veja cuidados,Sebastiao Silva,animais domesticos,4
Deixar de vacinar animais domesticos e crime alerta Delegacia do Meio Ambiente em Manaus,Teodora Alves,animais domesticos,6
Camara de Araras aprova lei que permite transporte de animais domesticos em onibus coletivo,Sasha Ferreira,animais domesticos,3
Animais domesticos ja podem viajar em onibus intermunicipais em Goias,Pedro Henrique,animais domesticos,3
Animais domesticos de ate 10kg estao autorizados a viajar nos onibus em Goias,Joao Paulo Araujo,animais domesticos,5
Policia Civil faz balanco de casos de maus-tratos contra animais entre janeiro e abril,Maria Clara,animais domesticos,3
Na porta de hospital cao aguarda ha dois meses por dono que faleceu em Fortaleza,Miguel Angelo,animais domesticos,6
Advogado fala da diferenca na contratacao de um diarista e de um trabalhador domestico,Sasha Ferreira,animais domesticos,7
Governo lanca servico de telemedicina na rede publica de saude; saiba mais,Francisco Jose,saude publica,6
'E o Bicho' JAM 1 reune fotos animais de estimacao,Francisco Jose,animais domesticos,7
Paolla Oliveira divulga acoes de controle da populacao de animais domesticos em Noronha,Miguel Angelo,animais domesticos,5
Abatedouro clandestino de animais silvestres e fechado em Santa Luzia na Grande BH,Francisco Jose,animais domesticos,7
Jogos Olimpicos irmaos de 1 ano e meio e 3 anos viralizam na web com homenagem aos atletas brasileiros,Maria Julia,jogos olimpicos,4
Triatleta de Araras compete nos Jogos Olimpicos de Toquio,Francisco Jose,jogos olimpicos,2
Fadinha do Skate e a mais jovem brasileira nos Jogos Olimpicos,Douglas Santos,jogos olimpicos,1
'Giro Total Toquio' Catarinenses estao em acao nos Jogos Olimpicos,Sasha Ferreira,jogos olimpicos,4
Boxe Rioclarense Lucielen Romeu e eliminada nos Jogos Olimpicos de Toquio,Tiago Calisto,jogos olimpicos,3
Atleta de Catanduva que vai disputar os Jogos Olimpicos faz desabafo na web,Maria Clara,jogos olimpicos,7
Jogos Olimpicos e pandemia veja como paises campeoes de medalhas se sairam no combate a Covid; China e Australia deram melhores respostas,Maria Clara,jogos olimpicos,6
Gabigol paga R$ 110 mil por aglomerar em cassino ilegal em SP e Justica extingue processo por crime contra a saude publica,Francisco Jose,saude publica,4
Rayssa Leal conquista prata no skate e se torna a medalhista olimpica mais jovem do Brasil,Douglas Santos,jogos olimpicos,4
Em 2019 Rayssa Leal falava na Bahia sobre sonho de disputar Olimpiadas em Toquio 'Unica coisa ruim vai ser a comida',Miguel Angelo,jogos olimpicos,3
Papa envia mensagem aos Jogos Olimpicos de Toquio,Joao Paulo Araujo,jogos olimpicos,5
Cade o Pikachu? Ausencia de personagem na abertura dos Jogos Olimpicos de Toquio gera memes,Teodora Alves,jogos olimpicos,7
Japao deve ter perda bilionaria com ausencia de publico nos Jogos Olimpicos,Francisco Jose,jogos olimpicos,4
Escalada esta entre as modalidades que estreiam nos jogos Olimpicos de Toquio de 2021,Hugo Sousa,jogos olimpicos,5
Jogos Olimpicos de Toquio sao abertos,Pedro Henrique,jogos olimpicos,3
Jogos Olimpicos Handebol com tecnico de Taubate perde em Tokyo,Teodora Alves,jogos olimpicos,6
Governo de Maduro confirma o pagamento para a transmissao dos jogos olimpicos na TV da Venezuela,Pedro Henrique,jogos olimpicos,2
Famosos parabenizam Rayssa Leal apos medalha de prata no skate 'Eu acredito em fadas',Sasha Ferreira,jogos olimpicos,4
No MG1 de Uberaba psicologo e doutor em saude publica fala sobre a luta antimanicomial,Douglas Santos,saude publica,4
Jovem de Piracicaba representa o Brasil na ginastica ritmica nos Jogos Olimpicos de 2021,Sebastiao Silva,jogos olimpicos,3
Marlon Zanoteli e Ana Paula representam o Maranhao nos jogos olimpicos,Miguel Angelo,jogos olimpicos,3
Membros da colonia japonesa em MS dividem torcida nos Jogos Olimpicos,Maria Julia,jogos olimpicos,3
Anitta Pavarotti Paul McCartney relembre famosos em aberturas de Jogos Olimpicos,Sebastiao Silva,jogos olimpicos,4
O Japao pelos seculos conheca e entenda alguns simbolos da cultura e da arte do pais dos Jogos Olimpicos,Joao Paulo Araujo,jogos olimpicos,1
Ana Beatriz analisa adversarias da selecao feminina de volei nos Jogos Olimpicos,Maria Clara,jogos olimpicos,5
Alice Bastos Neves fala sobre a cerimonia de abertura dos Jogos Olimpicos de Toquio,Pedro Henrique,jogos olimpicos,6
Serie 'Olimpiadas' bicicross estreia nos Jogos Olimpicos de Toquio,Hugo Sousa,jogos olimpicos,1
Correspondentes da Gazeta falam sobre trajeto ate sede dos Jogos Olimpicos em Toquio,Sebastiao Silva,jogos olimpicos,7
Emmanuel Macron e Jill Biden se encontram em jogo de basquete 3x3 nas Olimpiadas de Toquio,Pedro Henrique,jogos olimpicos,1
Governo defende retorno imediato de aulas presenciais; 7 estados ainda nao definiram data para reabrir escolas,Pedro Henrique,saude publica,2
Tatiana Weston-Webb vai em busca de medalha na modalidade estreante nos Jogos Olimpicos,Sebastiao Silva,jogos olimpicos,7
Jovem selecionado para trabalhar com delegacao brasileira nas Olimpiadas realiza sonho de conhecer atletas 'Zerei a vida',Miguel Angelo,jogos olimpicos,1
O curioso caso de Daniel Alves nos Jogos Olimpicos de Toquio,Pedro Henrique,jogos olimpicos,4
Conheca Ichinomya a cidade japonesa do surfe nos Jogos Olimpicos,Tiago Calisto,jogos olimpicos,5
Professoras de PE relembram atuacao como voluntarias nos jogos do Rio 'a licao maior foi ajudar o proximo sem querer nada em troca',Maria Julia,jogos olimpicos,6
Artista potiguar cria mural em homenagem a Italo Ferreira na Grande Natal,Pedro Henrique,jogos olimpicos,5
Veja historias do karate nova modalidade dos Jogos Olimpicos deste ano,Sebastiao Silva,jogos olimpicos,6
Conheca a historia do karate esporte estreante nos Jogos Olimpicos de Toquio,Miguel Angelo,jogos olimpicos,5
Prefeitura reacende a pira olimpica da Rio 2016,Douglas Santos,jogos olimpicos,7
Lucas Mazzo da marcha atletica leva protese ocular com a bandeira do Brasil para os Jogos Olimpicos,Thales Peres,jogos olimpicos,7
Defensoria Publica realizou mais de 700 atendimentos relacionados a saude em 2020,Tiago Calisto,saude publica,5
Japao corre contra o tempo para tentar controlar pandemia antes dos Jogos Olimpicos,Maria Clara,jogos olimpicos,5
Henrique Avancini do mountain bike chega a Toquio para os Jogos Olimpicos,Francisco Jose,jogos olimpicos,1
